Year,Value,Units,GeoCode
2010,103.7,өткен жылға пайызбен,
2011,105.0,өткен жылға пайызбен,
2012,102.5,өткен жылға пайызбен,
2013,105.1,өткен жылға пайызбен,
2014,104.6,өткен жылға пайызбен,
2015,100.6,өткен жылға пайызбен,
2016,100.2,өткен жылға пайызбен,
2017,104.4,өткен жылға пайызбен,
2018,103.4,өткен жылға пайызбен,
