Year,Value,Units
2010,27.208284564083492,пайыз
2011,27.407385368840586,пайыз
2012,28.50209020109739,пайыз
2013,28.45558017446005,пайыз
2014,26.248224076767467,пайыз
2015,25.836666270579382,пайыз
2016,26.79929100574212,пайыз
2017,22.63874740436675,пайыз
2018,26.6,пайыз
