Year,Units,Value
2010,млн.АҚШ доллар,149.9
2011,млн.АҚШ доллар,189.5
2012,млн.АҚШ доллар,151.7
2013,млн.АҚШ доллар,135.0
2014,млн.АҚШ доллар,267.1
2015,млн.АҚШ доллар,286.9
2016,млн.АҚШ доллар,306.6
2017,млн.АҚШ доллар,169.8
