Year,Value,Units
2010,98.1,пайыз
2011,97.1,пайыз
2012,97.2,пайыз
2013,97.9,пайыз
2014,98.4,пайыз
2015,98.2,пайыз
2016,95.0,пайыз
2017,96.9,пайыз
2018,97.8,пайыз
