Year,Value,Units
2010,74.1,пайыз
2011,76.1,пайыз
2012,75.9,пайыз
2013,77.5,пайыз
2014,76.8,пайыз
2015,72.6,пайыз
2016,74.1,пайыз
2017,72.6,пайыз
2018,71.5,пайыз
