Year,Value,Units,GeoCode
2010,125.5,2005 жылға пайызбен,
2011,132.9,2005 жылға пайызбен,
2012,137.3,2005 жылға пайызбен,
2013,143.5,2005 жылға пайызбен,
2014,147.4,2005 жылға пайызбен,
2015,148.9,2005 жылға пайызбен,
2016,148.5,2005 жылға пайызбен,
2017,152.5,2005 жылға пайызбен,
2018,156.3,2005 жылға пайызбен,
