Year,Value,Units
2010,16.58,пайыз
2011,21.55,пайыз
2012,23.06,пайыз
2013,18.6,пайыз
2014,21.01,пайыз
2015,20.16,пайыз
2016,14.8,пайыз
2017,16.15,пайыз
2018,21.6,пайыз
