Year,Value,Units,GeoCode
2012,13.4,пайыз,
2013,13.0,пайыз,
2014,16.5,пайыз,
2015,14.4,пайыз,
2016,12.3,пайыз,
2017,9.8,пайыз,
2018,8.8,пайыз,
