Year,Value,Units
2010,95.3,100 000 адамға
2011,86.6,100 000 адамға
2012,81.7,100 000 адамға
2013,73.4,100 000 адамға
2014,66.4,100 000 адамға
2015,58.5,100 000 адамға
2016,52.7,100 000 адамға
2017,52.2,100 000 адамға
2018,48.2,100 000 адамға
