Year,Value,Units
2010,48.0,пайыз
2011,54.0,пайыз
2012,65.0,пайыз
2013,79.0,пайыз
2014,91.0,пайыз
2015,98.0,пайыз
2016,100.0,пайыз
2017,100.0,пайыз
2018,100.0,пайыз
