Year,Units,Value
2010,100 000 ересекке шаққандағы коммерциялық банктер саны,3.3
2011,100 000 ересекке шаққандағы коммерциялық банктер саны,3.1
2012,100 000 ересекке шаққандағы коммерциялық банктер саны,3.2
2013,100 000 ересекке шаққандағы коммерциялық банктер саны,3.2
2014,100 000 ересекке шаққандағы коммерциялық банктер саны,3.3
2015,100 000 ересекке шаққандағы коммерциялық банктер саны,3.4
2016,100 000 ересекке шаққандағы коммерциялық банктер саны,2.9
2017,100 000 ересекке шаққандағы коммерциялық банктер саны,2.8
2018,100 000 ересекке шаққандағы коммерциялық банктер саны,2.7
2010,100 000 ересекке шаққандағы банкоматтар саны,66.1
2011,100 000 ересекке шаққандағы банкоматтар саны,69.5
2012,100 000 ересекке шаққандағы банкоматтар саны,73.3
2013,100 000 ересекке шаққандағы банкоматтар саны,75.0
2014,100 000 ересекке шаққандағы банкоматтар саны,76.3
2015,100 000 ересекке шаққандағы банкоматтар саны,75.2
2016,100 000 ересекке шаққандағы банкоматтар саны,78.0
2017,100 000 ересекке шаққандағы банкоматтар саны,78.6
2018,100 000 ересекке шаққандағы банкоматтар саны,88.8
