Year,Units,Value
2010,100 000 адамға жарақат алғандар,0.00145
2011,100 000 адамға жарақат алғандар,0.00011999999999999999
2012,100 000 адамға жарақат алғандар,0.0002
2013,100 000 адамға жарақат алғандар,0.00011999999999999999
2014,100 000 адамға жарақат алғандар,0.00018999999999999998
2015,100 000 адамға жарақат алғандар,8e-05
2016,100 000 адамға жарақат алғандар,8e-05
2017,100 000 адамға жарақат алғандар,0.00035
2018,100 000 адамға жарақат алғандар,8e-05
2010,100 000 адамға қаза болғандар,0.00053
2011,100 000 адамға қаза болғандар,5e-05
2012,100 000 адамға қаза болғандар,0.00015
2013,100 000 адамға қаза болғандар,2.9999999999999997e-05
2014,100 000 адамға қаза болғандар,9e-05
2015,100 000 адамға қаза болғандар,0.0
2016,100 000 адамға қаза болғандар,1e-05
2017,100 000 адамға қаза болғандар,0.00011
2018,100 000 адамға қаза болғандар,1e-05
