Year,Units,Пол,Регионы,Местность,Value
2010,на 1000 родившихся,мальчики и девочки,Костанайская,село,9.92
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,село,14.677901603696657
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,село,12.573568753344034
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,село,10.920404673109019
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,село,8.378511582060128
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,село,9.01803607214429
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,село,15.830375131919793
2010,на 1000 родившихся,мальчики,,,13.049889797406935
2010,на 1000 родившихся,мальчики,Акмолинская,,11.886384686631677
2010,на 1000 родившихся,мальчики,Актюбинская,,14.568631914409288
2010,на 1000 родившихся,мальчики,Алматинская,,9.531136470487668
2010,на 1000 родившихся,мальчики,Атырауская,,13.338564142801099
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,,10.421755414427619
2010,на 1000 родившихся,мальчики,Жамбылская,,13.187259078920674
2010,на 1000 родившихся,мальчики,Карагандинская,,10.510510510510512
2010,на 1000 родившихся,мальчики,Костанайская,,12.271774917689314
2010,на 1000 родившихся,мальчики,Кызылординская,,16.536118363794603
2010,на 1000 родившихся,мальчики,Мангистауская,,13.454075032341526
2010,на 1000 родившихся,мальчики,Южно-Казахстанская,,14.392602351537448
2010,на 1000 родившихся,мальчики,Павлодарская,,10.368479821343117
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,,9.41492938802959
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,,17.68809167912307
2010,на 1000 родившихся,мальчики,г_Нур-Султан,,8.692744901370778
2010,на 1000 родившихся,мальчики,г_Алматы,,16.60878755850823
2010,на 1000 родившихся,мальчики,,город,13.926846239953209
2010,на 1000 родившихся,мальчики,Акмолинская,город,12.135221034383127
2010,на 1000 родившихся,мальчики,Актюбинская,город,15.498154981549815
2010,на 1000 родившихся,мальчики,Алматинская,город,14.325163962720055
2010,на 1000 родившихся,мальчики,Атырауская,город,11.191245958716737
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,город,8.335906143871565
2010,на 1000 родившихся,мальчики,Жамбылская,город,13.395249151634221
2010,на 1000 родившихся,мальчики,Карагандинская,город,11.385606874328678
2010,на 1000 родившихся,мальчики,Костанайская,город,10.696733159872796
2010,на 1000 родившихся,мальчики,Кызылординская,город,17.691477885652642
2010,на 1000 родившихся,мальчики,Мангистауская,город,14.82059282371295
2010,на 1000 родившихся,мальчики,Южно-Казахстанская,город,17.9718419515993
2010,на 1000 родившихся,мальчики,Павлодарская,город,9.52834683182468
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,город,8.452192287374539
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,город,16.831980763450556
2010,на 1000 родившихся,мальчики,г_Нур-Султан,город,8.692744901370778
2010,на 1000 родившихся,мальчики,г_Алматы,город,16.60878755850823
2010,на 1000 родившихся,мальчики,,село,12.084055266782176
2010,на 1000 родившихся,мальчики,Акмолинская,село,11.600928074245939
2010,на 1000 родившихся,мальчики,Актюбинская,село,13.071895424836601
2010,на 1000 родившихся,мальчики,Алматинская,село,7.95318979719366
2010,на 1000 родившихся,мальчики,Атырауская,село,15.719801434087147
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,село,12.749827705031013
2010,на 1000 родившихся,мальчики,Жамбылская,село,13.060513713539398
2010,на 1000 родившихся,мальчики,Карагандинская,село,7.468259895444362
2010,на 1000 родившихся,мальчики,Костанайская,село,13.962147067949116
2010,на 1000 родившихся,мальчики,Кызылординская,село,15.597616543988785
2010,на 1000 родившихся,мальчики,Мангистауская,село,12.100926879505664
2010,на 1000 родившихся,мальчики,Южно-Казахстанская,село,12.16956802063185
2010,на 1000 родившихся,мальчики,Павлодарская,село,12.071463061323033
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,село,10.12461059190031
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,село,18.745360059391242
2010,на 1000 родившихся,девочки,,,9.898605120161335
2010,на 1000 родившихся,девочки,Акмолинская,,7.259528130671506
2010,на 1000 родившихся,девочки,Актюбинская,,9.535160905840286
2010,на 1000 родившихся,девочки,Алматинская,,7.591504744690465
2010,на 1000 родившихся,девочки,Атырауская,,10.249307479224376
2010,на 1000 родившихся,девочки,Западно-Казахстанская,,9.481123944147562
2010,на 1000 родившихся,девочки,Жамбылская,,8.84122037828828
2010,на 1000 родившихся,девочки,Карагандинская,,8.543283061633685
2010,на 1000 родившихся,девочки,Костанайская,,6.00551858464535
2010,на 1000 родившихся,девочки,Кызылординская,,14.145585957666496
2010,на 1000 родившихся,девочки,Мангистауская,,14.316087880935507
2010,на 1000 родившихся,девочки,Южно-Казахстанская,,11.112563733821414
2010,на 1000 родившихся,девочки,Павлодарская,,8.111239860950173
2010,на 1000 родившихся,девочки,Северо-Казахстанская,,7.981220657276996
2010,на 1000 родившихся,девочки,Восточно-Казахстанская,,13.790112749349523
2010,на 1000 родившихся,девочки,г_Нур-Султан,,5.852842809364548
2010,на 1000 родившихся,девочки,г_Алматы,,10.985434128082025
2010,на 1000 родившихся,девочки,,город,10.667322897831228
2010,на 1000 родившихся,девочки,Акмолинская,город,8.087091757387247
2010,на 1000 родившихся,девочки,Актюбинская,город,9.84175993824778
2010,на 1000 родившихся,девочки,Алматинская,город,9.002520705797624
2010,на 1000 родившихся,девочки,Атырауская,город,9.264160931709899
2010,на 1000 родившихся,девочки,Западно-Казахстанская,город,11.139401654996817
2010,на 1000 родившихся,девочки,Жамбылская,город,10.91617933723197
2010,на 1000 родившихся,девочки,Карагандинская,город,8.393956351426972
2010,на 1000 родившихся,девочки,Костанайская,город,6.381620931716657
2010,на 1000 родившихся,девочки,Кызылординская,город,14.699127239320166
2010,на 1000 родившихся,девочки,Мангистауская,город,15.59341611319665
2010,на 1000 родившихся,девочки,Южно-Казахстанская,город,13.560022026431717
2010,на 1000 родившихся,девочки,Павлодарская,город,9.86679822397632
2010,на 1000 родившихся,девочки,Северо-Казахстанская,город,8.161044613710555
2010,на 1000 родившихся,девочки,Восточно-Казахстанская,город,14.626635873749038
2010,на 1000 родившихся,девочки,г_Нур-Султан,город,5.852842809364548
2010,на 1000 родившихся,девочки,г_Алматы,город,10.985434128082025
2010,на 1000 родившихся,девочки,,село,9.053817301021788
2010,на 1000 родившихся,девочки,Акмолинская,село,6.324666198172874
2010,на 1000 родившихся,девочки,Актюбинская,село,9.03990024937656
2010,на 1000 родившихся,девочки,Алматинская,село,7.1187258687258685
2010,на 1000 родившихся,девочки,Атырауская,село,11.330621731551425
2010,на 1000 родившихся,девочки,Западно-Казахстанская,село,7.5216246709289205
2010,на 1000 родившихся,девочки,Жамбылская,село,7.613334871380782
2010,на 1000 родившихся,девочки,Карагандинская,село,9.069400630914828
2010,на 1000 родившихся,девочки,Костанайская,село,5.61612157251404
2010,на 1000 родившихся,девочки,Кызылординская,село,13.693490902269742
2010,на 1000 родившихся,девочки,Мангистауская,село,13.084632516703786
2010,на 1000 родившихся,девочки,Южно-Казахстанская,село,9.613357507273264
2010,на 1000 родившихся,девочки,Павлодарская,село,4.529441368897836
2010,на 1000 родившихся,девочки,Северо-Казахстанская,село,7.844756399669695
2010,на 1000 родившихся,девочки,Восточно-Казахстанская,село,12.711022840119165
2011,на 1000 родившихся,мальчики и девочки,,,9.796345488207358
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,,10.019723865877713
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,,7.1958623791319996
2011,на 1000 родившихся,мальчики и девочки,Алматинская,,7.8580757509795385
2011,на 1000 родившихся,мальчики и девочки,Атырауская,,11.752415774353617
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,8.826496301277741
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,,9.554250773025744
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,,6.586801696101436
2011,на 1000 родившихся,мальчики и девочки,Костанайская,,7.768361581920904
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,,11.82961379790248
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,,12.627519283403831
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,10.227444271121621
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,,8.828996282527882
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,7.038190838813892
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,13.47520823339584
2011,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,7.052896725440806
2011,на 1000 родившихся,мальчики и девочки,г_Алматы,,13.971025997221671
2011,на 1000 родившихся,мальчики и девочки,,город,10.994578710036988
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,город,11.19177253478524
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,город,6.88924218335983
2011,на 1000 родившихся,мальчики и девочки,Алматинская,город,10.24101703893352
2011,на 1000 родившихся,мальчики и девочки,Атырауская,город,11.31928181108509
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,город,7.763975155279503
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,город,12.126111560226354
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,город,6.494866959983239
2011,на 1000 родившихся,мальчики и девочки,Костанайская,город,8.796779484121068
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,город,12.01558778956484
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,город,14.065050860228558
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,город,15.28765352294764
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,город,8.08967987981047
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,город,6.307490144546649
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,город,13.366188769414576
2011,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,город,7.052896725440806
2011,на 1000 родившихся,мальчики и девочки,г_Алматы,город,13.971025997221671
2011,на 1000 родившихся,мальчики и девочки,,село,8.447410449463838
2011,на 1000 родившихся,мальчики и девочки,Акмолинская,село,8.741547088899885
2011,на 1000 родившихся,мальчики и девочки,Актюбинская,село,7.732755954222085
2011,на 1000 родившихся,мальчики и девочки,Алматинская,село,7.078265391615867
2011,на 1000 родившихся,мальчики и девочки,Атырауская,село,12.18872870249017
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,село,10.080645161290322
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,село,7.93201133144476
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,село,6.924408540103866
2011,на 1000 родившихся,мальчики и девочки,Костанайская,село,6.625807520291535
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,село,11.671721349140704
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,село,11.216566005176878
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,село,7.002801120448179
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,село,10.331063629960084
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,село,7.610037021801728
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,село,13.628262920641577
2011,на 1000 родившихся,мальчики,,,11.120370852648575
2011,на 1000 родившихся,мальчики,Акмолинская,,10.74780502573418
2011,на 1000 родившихся,мальчики,Актюбинская,,9.180327868852459
2011,на 1000 родившихся,мальчики,Алматинская,,9.279267827634422
2011,на 1000 родившихся,мальчики,Атырауская,,13.309671694764862
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,,9.751340809361286
2011,на 1000 родившихся,мальчики,Жамбылская,,10.375261065822274
2011,на 1000 родившихся,мальчики,Карагандинская,,7.678008567041138
2011,на 1000 родившихся,мальчики,Костанайская,,8.805808744013596
2011,на 1000 родившихся,мальчики,Кызылординская,,13.771186440677965
2011,на 1000 родившихся,мальчики,Мангистауская,,13.306161591944377
2011,на 1000 родившихся,мальчики,Южно-Казахстанская,,11.72991862368955
2011,на 1000 родившихся,мальчики,Павлодарская,,9.486523113988858
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,,8.678237650200266
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,,15.737372028090363
2011,на 1000 родившихся,мальчики,г_Нур-Султан,,7.539335664335664
2011,на 1000 родившихся,мальчики,г_Алматы,,15.134230739980227
2011,на 1000 родившихся,мальчики,,город,12.40099836880687
2011,на 1000 родившихся,мальчики,Акмолинская,город,11.928429423459244
2011,на 1000 родившихся,мальчики,Актюбинская,город,8.651399491094146
2011,на 1000 родившихся,мальчики,Алматинская,город,12.307692307692308
2011,на 1000 родившихся,мальчики,Атырауская,город,13.853258081067214
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,город,8.035714285714285
2011,на 1000 родившихся,мальчики,Жамбылская,город,13.574660633484163
2011,на 1000 родившихся,мальчики,Карагандинская,город,7.714462044846739
2011,на 1000 родившихся,мальчики,Костанайская,город,10.733971569480708
2011,на 1000 родившихся,мальчики,Кызылординская,город,13.000629062696582
2011,на 1000 родившихся,мальчики,Мангистауская,город,14.489194499017682
2011,на 1000 родившихся,мальчики,Южно-Казахстанская,город,17.279434949864413
2011,на 1000 родившихся,мальчики,Павлодарская,город,9.73731884057971
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,город,7.518796992481203
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,город,15.179991325719241
2011,на 1000 родившихся,мальчики,г_Нур-Султан,город,7.539335664335664
2011,на 1000 родившихся,мальчики,г_Алматы,город,15.134230739980227
2011,на 1000 родившихся,мальчики,,село,9.675917715907076
2011,на 1000 родившихся,мальчики,Акмолинская,село,9.40032414910859
2011,на 1000 родившихся,мальчики,Актюбинская,село,10.138248847926269
2011,на 1000 родившихся,мальчики,Алматинская,село,8.281223593037012
2011,на 1000 родившихся,мальчики,Атырауская,село,12.778752192432975
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,село,11.815252416756177
2011,на 1000 родившихся,мальчики,Жамбылская,село,8.354402550291304
2011,на 1000 родившихся,мальчики,Карагандинская,село,7.544322897019992
2011,на 1000 родившихся,мальчики,Костанайская,село,6.609385327164574
2011,на 1000 родившихся,мальчики,Кызылординская,село,14.425645592163846
2011,на 1000 родившихся,мальчики,Мангистауская,село,12.177985948477751
2011,на 1000 родившихся,мальчики,Южно-Казахстанская,село,8.218959463772743
2011,на 1000 родившихся,мальчики,Павлодарская,село,8.98876404494382
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,село,9.603841536614645
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,село,16.523867809057528
2011,на 1000 родившихся,девочки,,,8.389596015495297
2011,на 1000 родившихся,девочки,Акмолинская,,9.22722029988466
2011,на 1000 родившихся,девочки,Актюбинская,,5.093771706413522
2011,на 1000 родившихся,девочки,Алматинская,,6.356596087559873
2011,на 1000 родившихся,девочки,Атырауская,,10.098290022889458
2011,на 1000 родившихся,девочки,Западно-Казахстанская,,7.835625979453249
2011,на 1000 родившихся,девочки,Жамбылская,,8.680057388809182
2011,на 1000 родившихся,девочки,Карагандинская,,5.453935224030878
2011,на 1000 родившихся,девочки,Костанайская,,6.697496412055494
2011,на 1000 родившихся,девочки,Кызылординская,,9.758602978941962
2011,на 1000 родившихся,девочки,Мангистауская,,11.895526247737266
2011,на 1000 родившихся,девочки,Южно-Казахстанская,,8.633429260325116
2011,на 1000 родившихся,девочки,Павлодарская,,8.132674214638813
2011,на 1000 родившихся,девочки,Северо-Казахстанская,,5.271986580397795
2011,на 1000 родившихся,девочки,Восточно-Казахстанская,,11.069114470842331
2011,на 1000 родившихся,девочки,г_Нур-Султан,,6.541948812119821
2011,на 1000 родившихся,девочки,г_Алматы,,12.701311638718247
2011,на 1000 родившихся,девочки,,город,9.497510564411531
2011,на 1000 родившихся,девочки,Акмолинская,город,10.352636687156261
2011,на 1000 родившихся,девочки,Актюбинская,город,4.975124378109452
2011,на 1000 родившихся,девочки,Алматинская,город,8.033595033777615
2011,на 1000 родившихся,девочки,Атырауская,город,8.711721224920803
2011,на 1000 родившихся,девочки,Западно-Казахстанская,город,7.467532467532467
2011,на 1000 родившихся,девочки,Жамбылская,город,10.581028401707815
2011,на 1000 родившихся,девочки,Карагандинская,город,5.229455709711846
2011,на 1000 родившихся,девочки,Костанайская,город,6.748466257668712
2011,на 1000 родившихся,девочки,Кызылординская,город,10.964421570821214
2011,на 1000 родившихся,девочки,Мангистауская,город,13.621177075301977
2011,на 1000 родившихся,девочки,Южно-Казахстанская,город,13.193661738380959
