Year,Units,Местность,Регионы,Value
2018,процент,город,,68.7
2018,процент,село,,8.6
2019,процент,город,,70.5
2019,процент,село,,8.8
2019,процент,город,Акмолинская,72.1
2019,процент,село,Акмолинская,14.7
2019,процент,город,Актюбинская,95.3
2019,процент,село,Актюбинская,6.6
2019,процент,город,Алматинская,95.1
2019,процент,село,Алматинская,6.3
2019,процент,город,Атырауская,37.2
2019,процент,село,Атырауская,9.5
2019,процент,город,Западно-Казахстанская,91.2
2019,процент,село,Западно-Казахстанская,0.0
2019,процент,город,Жамбылская,0.0
2019,процент,село,Жамбылская,0.0
2019,процент,город,Карагандинская,66.0
2019,процент,село,Карагандинская,20.9
2019,процент,город,Костанайская,100.0
2019,процент,село,Костанайская,17.1
2019,процент,город,Кызылординская,48.9
2019,процент,село,Кызылординская,0.4
2019,процент,город,Мангистауская,93.1
2019,процент,село,Мангистауская,3.8
2019,процент,город,Павлодарская,87.0
2019,процент,село,Павлодарская,5.3
2019,процент,город,Северо-Казахстанская,84.0
2019,процент,село,Северо-Казахстанская,0.61
2019,процент,город,Туркестанская,25.7
2019,процент,село,Туркестанская,9.4
2019,процент,город,Восточно-Казахстанская,72.0
2019,процент,село,Восточно-Казахстанская,30.1
2019,процент,,г_Нур-Султан,91.0
2019,процент,,г_Алматы,80.0
2019,процент,,г_Шымкент,60.7
