Year,Units,Официальная помощь для развития,Value
2010,млн.долл.США,Казахстан-получатель,1094.763065
2011,млн.долл.США,Казахстан-получатель,1041.625945
2012,млн.долл.США,Казахстан-получатель,787.272574
2013,млн.долл.США,Казахстан-получатель,860.401022
2013,млн.долл.США,Казахстан-донор,0.070134
2014,млн.долл.США,Казахстан-получатель,1144.874709
2014,млн.долл.США,Казахстан-донор,0.165732
2015,млн.долл.США,Казахстан-получатель,586.004652
2015,млн.долл.США,Казахстан-донор,0.655176
2016,млн.долл.США,Казахстан-получатель,1382.724414
2016,млн.долл.США,Казахстан-донор,1.739989
2017,млн.долл.США,Казахстан-получатель,386.028586
2017,млн.долл.США,Казахстан-донор,0.108509
2018,млн.долл.США,Казахстан-донор,3.53
