Year,Units,Пол,Регионы,Value
2018,процент,мальчики,Западно-Казахстанская,100.0
2018,процент,девочки,Западно-Казахстанская,100.0
2018,процент,мальчики,Жамбылская,100.0
2018,процент,девочки,Жамбылская,82.15533623490468
2018,процент,мальчики,Карагандинская,100.0
2018,процент,девочки,Карагандинская,100.0
2018,процент,мальчики,Костанайская,100.0
2018,процент,девочки,Костанайская,100.0
2018,процент,мальчики,Кызылординская,100.0
2018,процент,девочки,Кызылординская,100.0
2018,процент,мальчики,Мангистауская,100.0
2018,процент,девочки,Мангистауская,100.0
2018,процент,мальчики,Туркестанская,88.08910636106103
2018,процент,девочки,Туркестанская,92.53446387960805
2018,процент,мальчики,Павлодарская,100.0
2018,процент,девочки,Павлодарская,100.0
2018,процент,мальчики,Северо-Казахстанская,100.0
2018,процент,девочки,Северо-Казахстанская,100.0
2018,процент,мальчики,Восточно-Казахстанская,100.0
2018,процент,девочки,Восточно-Казахстанская,100.0
2018,процент,мальчики,г_Нур-Султан,67.87322480083131
2018,процент,девочки,г_Нур-Султан,65.53822521564457
2018,процент,мальчики,г_Алматы,78.37239759743485
2018,процент,девочки,г_Алматы,82.22153273347813
2018,процент,мальчики,г_Шымкент,88.21177032350484
2018,процент,девочки,г_Шымкент,90.77813589423141
2019,процент,,,98.3
2019,процент,мальчики,,98.3
2019,процент,девочки,,98.7
2019,процент,,Акмолинская,100.0
2019,процент,,Актюбинская,100.0
2019,процент,,Алматинская,100.0
2019,процент,,Атырауская,100.0
2019,процент,,Западно-Казахстанская,100.0
2019,процент,,Жамбылская,100.0
2019,процент,,Карагандинская,100.0
2019,процент,,Костанайская,100.0
2019,процент,,Кызылординская,100.0
2019,процент,,Мангистауская,100.0
2019,процент,,Павлодарская,100.0
2019,процент,,Северо-Казахстанская,100.0
2019,процент,,Туркестанская,100.0
2019,процент,,Восточно-Казахстанская,100.0
2019,процент,,г_Нур-Султан,98.6
2019,процент,,г_Алматы,81.4
2019,процент,,г_Шымкент,100.0
2019,процент,мальчики,Акмолинская,100.0
2019,процент,девочки,Акмолинская,100.0
2019,процент,мальчики,Актюбинская,100.0
2019,процент,девочки,Актюбинская,100.0
2019,процент,мальчики,Алматинская,100.0
2019,процент,девочки,Алматинская,100.0
2019,процент,мальчики,Атырауская,100.0
2019,процент,девочки,Атырауская,100.0
2019,процент,мальчики,Западно-Казахстанская,100.0
2019,процент,девочки,Западно-Казахстанская,100.0
2019,процент,мальчики,Жамбылская,100.0
2019,процент,девочки,Жамбылская,100.0
2019,процент,мальчики,Карагандинская,100.0
2019,процент,девочки,Карагандинская,100.0
