Year,Units,Value
2010,кг СО2-экв/межд.долларов,0.92
2011,кг СО2-экв/межд.долларов,0.84
2012,кг СО2-экв/межд.долларов,0.82
2013,кг СО2-экв/межд.долларов,0.8
2014,кг СО2-экв/межд.долларов,0.84
2015,кг СО2-экв/межд.долларов,0.86
2016,кг СО2-экв/межд.долларов,0.86
2017,кг СО2-экв/межд.долларов,0.88
2018,кг СО2-экв/межд.долларов,0.89
