Year,Units,Регионы,Value
2010,человек на 1 000 000 жителей,,666.0
2010,человек на 1 000 000 жителей,Акмолинская,403.1555090655509
2010,человек на 1 000 000 жителей,Актюбинская,150.54260225865815
2010,человек на 1 000 000 жителей,Алматинская,216.23044017723345
2010,человек на 1 000 000 жителей,Атырауская,740.7266718580844
2010,человек на 1 000 000 жителей,Западно-Казахстанская,488.3714791056202
2010,человек на 1 000 000 жителей,Жамбылская,182.6266323456757
2010,человек на 1 000 000 жителей,Карагандинская,481.6527357875393
2010,человек на 1 000 000 жителей,Костанайская,231.15702020470994
2010,человек на 1 000 000 жителей,Кызылординская,77.7245700319966
2010,человек на 1 000 000 жителей,Мангистауская,728.0329678244468
2010,человек на 1 000 000 жителей,Южно-Казахстанская,113.40390889098458
2010,человек на 1 000 000 жителей,Павлодарская,169.0573976699597
2010,человек на 1 000 000 жителей,Северо-Казахстанская,123.49730843537368
2010,человек на 1 000 000 жителей,Восточно-Казахстанская,525.0072242138482
2010,человек на 1 000 000 жителей,г_Нур-Султан,1647.461142051557
2010,человек на 1 000 000 жителей,г_Алматы,3972.5197787829356
2011,человек на 1 000 000 жителей,,694.0
2011,человек на 1 000 000 жителей,Акмолинская,678.6465303001339
2011,человек на 1 000 000 жителей,Актюбинская,145.7901184992314
2011,человек на 1 000 000 жителей,Алматинская,257.0320205837166
2011,человек на 1 000 000 жителей,Атырауская,785.1221218390461
2011,человек на 1 000 000 жителей,Западно-Казахстанская,468.5006994748206
2011,человек на 1 000 000 жителей,Жамбылская,88.48370329987128
2011,человек на 1 000 000 жителей,Карагандинская,408.82802877736066
2011,человек на 1 000 000 жителей,Костанайская,152.1612000295238
2011,человек на 1 000 000 жителей,Кызылординская,79.24098456923328
2011,человек на 1 000 000 жителей,Мангистауская,768.2429666515261
2011,человек на 1 000 000 жителей,Южно-Казахстанская,177.29532892330474
2011,человек на 1 000 000 жителей,Павлодарская,259.81156965025883
2011,человек на 1 000 000 жителей,Северо-Казахстанская,85.23753997640625
2011,человек на 1 000 000 жителей,Восточно-Казахстанская,521.2775022215156
2011,человек на 1 000 000 жителей,г_Нур-Султан,1713.8531836142304
2011,человек на 1 000 000 жителей,г_Алматы,4030.7170120851642
2012,человек на 1 000 000 жителей,,610.730445747399
2012,человек на 1 000 000 жителей,Акмолинская,721.5565426918223
2012,человек на 1 000 000 жителей,Актюбинская,115.22758585820283
2012,человек на 1 000 000 жителей,Алматинская,108.93200982670474
2012,человек на 1 000 000 жителей,Атырауская,738.9100657646713
2012,человек на 1 000 000 жителей,Западно-Казахстанская,178.52324118356586
2012,человек на 1 000 000 жителей,Жамбылская,155.75778788939448
2012,человек на 1 000 000 жителей,Карагандинская,603.5109488353562
2012,человек на 1 000 000 жителей,Костанайская,123.94928376271199
2012,человек на 1 000 000 жителей,Кызылординская,75.85493091783077
2012,человек на 1 000 000 жителей,Мангистауская,664.536557592869
2012,человек на 1 000 000 жителей,Южно-Казахстанская,165.8424229068573
2012,человек на 1 000 000 жителей,Павлодарская,231.4403943414989
2012,человек на 1 000 000 жителей,Северо-Казахстанская,205.79781894192556
2012,человек на 1 000 000 жителей,Восточно-Казахстанская,489.0273949420751
2012,человек на 1 000 000 жителей,г_Нур-Султан,3111.218057451223
2012,человек на 1 000 000 жителей,г_Алматы,2472.1856881883473
2013,человек на 1 000 000 жителей,,736.8326822438959
2013,человек на 1 000 000 жителей,Акмолинская,697.7076778490581
2013,человек на 1 000 000 жителей,Актюбинская,161.5098177032706
2013,человек на 1 000 000 жителей,Алматинская,211.2985589880867
2013,человек на 1 000 000 жителей,Атырауская,530.7071048858891
2013,человек на 1 000 000 жителей,Западно-Казахстанская,391.4254883960638
2013,человек на 1 000 000 жителей,Жамбылская,142.468922834672
2013,человек на 1 000 000 жителей,Карагандинская,398.062388286496
2013,человек на 1 000 000 жителей,Костанайская,186.54419664252245
2013,человек на 1 000 000 жителей,Кызылординская,134.70920296941256
2013,человек на 1 000 000 жителей,Мангистауская,786.01108033241
2013,человек на 1 000 000 жителей,Южно-Казахстанская,286.4855116382891
2013,человек на 1 000 000 жителей,Павлодарская,438.52863364564877
2013,человек на 1 000 000 жителей,Северо-Казахстанская,225.51927756298653
