Year,Units,Местность,Value
2010,на 100 000 человек,,95.3
2010,на 100 000 человек,город,107.3
2010,на 100 000 человек,село,81.1
2011,на 100 000 человек,,86.6
2011,на 100 000 человек,город,97.1
2011,на 100 000 человек,село,74.0
2012,на 100 000 человек,,81.7
2012,на 100 000 человек,город,91.0
2012,на 100 000 человек,село,70.4
2013,на 100 000 человек,,73.4
2013,на 100 000 человек,город,85.9
2013,на 100 000 человек,село,61.2
2014,на 100 000 человек,,66.4
2014,на 100 000 человек,город,78.6
2014,на 100 000 человек,село,50.6
2015,на 100 000 человек,,58.5
2015,на 100 000 человек,город,63.2
2015,на 100 000 человек,село,52.1
2016,на 100 000 человек,,52.7
2016,на 100 000 человек,город,55.6
2016,на 100 000 человек,село,48.9
2017,на 100 000 человек,,52.2
2017,на 100 000 человек,город,54.4
2017,на 100 000 человек,село,49.2
2018,на 100 000 человек,,48.2
2018,на 100 000 человек,город,50.22440672301683
2018,на 100 000 человек,село,45.31521836735146
2019,на 100 000 человек,,45.6
2019,на 100 000 человек,город,47.7
2019,на 100 000 человек,село,42.6
