Year,Units,Официальная помощь для развития,Value
2015,млн.долларов США,Казахстан-получатель (валовый),4.266
2016,млн.долларов США,Казахстан-получатель (валовый),6.45
2017,млн.долларов США,Казахстан-получатель (валовый),11.38
2015,млн.долларов США,Казахстан-донор (валовый),0.0449
2015,млн.долларов США,Казахстан-получатель (чистый),4.265
2016,млн.долларов США,Казахстан-получатель (чистый),6.447
2017,млн.долларов США,Казахстан-получатель (чистый),10.776
2015,млн.долларов США,Казахстан-донор (чистый),0.0449
