Year,Units,Регионы,Value
2011,тнэ на тыс.долл. США в ценах  2010 года,,0.4861384507214093
2012,тнэ на тыс.долл. США в ценах  2010 года,,0.443292989072438
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Акмолинская,0.83
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Актюбинская,2.63
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Алматинская,0.17
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Атырауская,1.92
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Западно-Казахстанская,3.28
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Жамбылская,1.0
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Карагандинская,4.54
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Костанайская,0.04
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Кызылординская,6.55
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Мангистауская,2.65
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Туркестанская,0.12
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Павлодарская,7.39
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Северо-Казахстанская,0.29
2012,"тнэ на тыс.долл. США, в ценах 2000 года",Восточно-Казахстанская,0.96
2012,"тнэ на тыс.долл. США, в ценах 2000 года",г.Нур-Султан,0.06
2012,"тнэ на тыс.долл. США, в ценах 2000 года",г.Алматы,0.23
2013,тнэ на тыс.долл. США в ценах  2010 года,,0.4610388251259937
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Акмолинская,0.51
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Актюбинская,2.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Алматинская,0.2
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Атырауская,1.92
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Западно-Казахстанская,3.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Жамбылская,0.31
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Карагандинская,3.77
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Костанайская,0.03
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Кызылординская,5.69
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Мангистауская,2.79
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Туркестанская,0.11
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Павлодарская,6.58
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Северо-Казахстанская,0.37
2013,"тнэ на тыс.долл. США, в ценах 2000 года",Восточно-Казахстанская,0.88
2013,"тнэ на тыс.долл. США, в ценах 2000 года",г.Нур-Султан,0.04
2013,"тнэ на тыс.долл. США, в ценах 2000 года",г.Алматы,0.14
2014,тнэ на тыс.долл. США в ценах  2010 года,,0.4162673684542015
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Акмолинская,0.67
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Актюбинская,3.55
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Алматинская,0.21
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Атырауская,1.53
2014,"тнэ на тыс.долл. США, в ценах 2000 года",Западно-Казахстанская,5.15
