Year,Value,Units
2010,3715.6,млн_тенге
2011,4493.3,млн_тенге
2012,6146.6,млн_тенге
2013,7347.6,млн_тенге
2014,7362.5,млн_тенге
2015,6842.6,млн_тенге
2016,8149.6,млн_тенге
2017,8045.2,млн_тенге
2018,8566.2,млн_тенге
