Year,Value,Units
2010,0.92,кг СО2-экв/межд.долларов
2011,0.84,кг СО2-экв/межд.долларов
2012,0.82,кг СО2-экв/межд.долларов
2013,0.8,кг СО2-экв/межд.долларов
2014,0.84,кг СО2-экв/межд.долларов
2015,0.86,кг СО2-экв/межд.долларов
2016,0.86,кг СО2-экв/межд.долларов
2017,0.88,кг СО2-экв/межд.долларов
2018,0.89,кг СО2-экв/межд.долларов
