Year,Value,Units
2010,98.1,процент
2011,97.1,процент
2012,97.2,процент
2013,97.9,процент
2014,98.4,процент
2015,98.2,процент
2016,95.0,процент
2017,96.9,процент
2018,97.8,процент
2019,96.7,процент
