Value,Number of instances
0.0,1
5.5,1
KZ01,53
KZ010,1
KZ02,40
KZ03,53
KZ04,50
KZ05,36
KZ06,50
KZ07,52
KZ09,50
KZ10,77
KZ11,52
KZ12,45
KZ13,50
KZ14,51
KZ15,55
KZ16,53
KZ17,53
KZ18,32
