Value,kk,en,Number of instances
сильная степень отклонения от нормы,нормадан күшті ауытқу,Strong deviation from the norm,2
умеренная и сильная степень отклонения от нормы,қалыпты және қатал ауытқушылық,Rate of deviation from the norm (moderate and strong),2
