Value,kk,en,Number of instances
,,,1
выше 10 Мбит/сек,выше 10 Мбит/сек,выше 10 Мбит/сек,19
от 2 Мбит/сек до менее 10 Мбит/сек,2 Мбит / с-тан 10 Мбит / с-ке дейін,from 2mb/sec to 10 mb/sec,19
от 256 кБит/сек до менее 2 Мбит/сек,256 кбит / с-тан 2 Мбит / с-ден кем,from 256 kb/sec to 2mb/sec,19
