Value,kk,en,Number of instances
Базельская конвенция,Базель конвенциясы,Basel convention,1
Монреальский протокол,Монреаль конвенциясы,Montreal Protocol,1
Роттердамская конвенция,Роттердам конвенциясы,Rotterdam convention,1
Стокгольмская конвенция,Стокгольм конвенциясы,Stockholm convention,1
