Value,kk,en,Number of instances
,,,2168
город,қала,Urban,212
городская местность,городская местность,городская местность,213
городское население,городское население,Population of urban areas,537
село,ауыл,Rural,184
сельская местность,сельская местность,сельская местность,184
сельское население,сельское население,Population of rural areas,467
