Value,kk,en,Number of instances
,,,1849
всего,всего,всего,2
девочки,қыздар,Girls,190
женщины,әйелдер,Female,677
мальчики,ұлдар,Boys,191
мальчики и девочки,ұлдар және қыздар,Boys and Girls,162
мужчины,ерлер,Male,686
