Value,kk,en,Number of instances
"Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 15 лет","Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 15 лет","Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 15 лет",1
"Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 18 лет","Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 18 лет","Доля женщин в возрасте 20-24 года, вступивших в брак до наступления полных 18 лет",1
