Value,Number of instances
"изнасилование, совершенное лицом, не являющимся партнером",1
любое сексуальное насилие,1
попытка изнасилования или иное сексуальное насилие,1
сексуальное насилие,4
физическое насилие,5
физическое насилие и/или сексуальное насилие,4
