Value,kk,en,Number of instances
в том числе погибло,соның ішінде қаза болды,including died,26
в том числе погибло (нет возможности установить пол),соның ішінде қаза болды (жынысын анықтау мүмкіндігі жоқ),including dead (there is no way to install the floor),2
пострадало,зардап шеккен,suffered,40
пострадало (нет возможности установить пол),зардап шеккен (жынысын анықтау мүмкіндігі жоқ),hurt (no way to set the floor),5
