Value,Number of instances
Государственные услуги общего характера,1
Жилищно-комунальная хозяйство,1
Здравоохранение,1
"Культура, спорт, туризм и информационное пространство",1
Оборона,1
Образование,1
Обслуживание долга,1
"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",1
Отношение государственного долга к ВВП,1
"Промышленность, архитектурная, градостроительная и строительная деятельность",1
Прочие,1
"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1
Социальная помощь и социальное обеспечение,1
Топливно-энергетический комплекс недропользования,1
Транспорт и коммуникация,1
Трансферты,1
