Indicator
1-4-1
1-5-3
1-b-1
10-2-1
10-6-1
10-7-1
10-c-1
11-2-1
11-7-1
11-7-2
12-1-1
12-2-1
12-2-2
12-3-1
12-6-1
12-7-1
12-b-1
12-c-1
13-1-2
13-a-1
13-b-1
14-1-1
14-2-1
14-a-1
14-b-1
14-c-1
15-8-1
15-9-1
16-1-3
16-10-1
16-10-2
16-2-3
16-3-1
16-4-1
16-7-2
17-13-1
17-14-1
17-15-1
17-16-1
17-17-1
17-18-1
17-18-2
17-18-3
17-19-1
17-5-1
17-7-1
2-3-2
2-5-1
2-b-1
3-3-3
3-3-5
3-5-2
3-8-1
3-8-2
3-9-1
3-d-1
4-6-1
5-1-1
5-3-2
5-6-1
5-6-2
5-a-2
5-c-1
6-5-1
6-6-1
7-a-1
9-1-1
9-2-1-2
9-3-1
