Value,kk,en,Number of instances
,,,189
другие,басқа,Other,5
другие национальности,басқа ұлттар,other nationalities,3
казахи,Қазақтар,Kazakh,8
русские,Орыстар,Russian,8
узбеки,Өзбектер,uzbeks,3
уйгуры,Ұйғырлар,uigurs,3
украинцы,Украиндар,ukranians,3
