Value,kk,en,Number of instances
местные органы власти (Маслихат),жергілікті билік органдарында (Мәслихаттар),Local Representative Bodies (Maslikhats),1
национальный парламент (Мажилис),ұлттық парламенттерде (Мәжіліс),National Parliament (Mazhilis),1
